Parlamentare,id,Partito,dataIngresso,905003,905006,905005,905004,905007,905008,905001,905002,905009,009002,009004,009005,009006,009003,009001
DA VILLA MARCO,305670,M5S,2013-03-19,Favorevole,Contrario,Contrario,Contrario,Astensione,Favorevole,Contrario,Favorevole,Astensione,,,,,,
MALISANI GIANNA,305673,PD,2013-03-19,Favorevole,Favorevole,Favorevole,Favorevole,Contrario,Contrario,Favorevole,Favorevole,Contrario,,,,,,
D'INCA' FEDERICO,305674,M5S,2013-03-19,Favorevole,Contrario,Contrario,Contrario,Astensione,Favorevole,Contrario,Favorevole,Astensione,Astensione,Astensione,Astensione,Favorevole,Astensione,Contrario
ZANIN GIORGIO,305677,PD,2013-03-19,Favorevole,Favorevole,Favorevole,Favorevole,Contrario,Contrario,Favorevole,Favorevole,Contrario,,,,,,
COZZOLINO EMANUELE,305678,M5S,2013-03-19,Favorevole,Contrario,Contrario,Contrario,Astensione,Favorevole,Contrario,Favorevole,Astensione,,,,,,
BRANDOLIN GIORGIO,305680,PD,2013-03-19,Favorevole,Favorevole,Favorevole,Favorevole,Contrario,Contrario,Favorevole,Favorevole,Contrario,,,,,,
COPPOLA PAOLO,305682,PD,2013-03-19,Favorevole,Favorevole,Favorevole,Favorevole,Contrario,Contrario,Favorevole,Favorevole,Contrario,,,,,,
SAVINO SANDRA,305684,FI-PDL,2013-03-19,Favorevole,Favorevole,Favorevole,Favorevole,Contrario,Contrario,Favorevole,Favorevole,Contrario,Favorevole,Favorevole,Favorevole,Favorevole,Favorevole,Astensione
GIGLI GIAN LUIGI,305686,DES-CD,2013-12-10,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,,,,,,
RIZZETTO WALTER,305688,FDI-AN,2013-04-03,Favorevole,Favorevole,Favorevole,Favorevole,Contrario,Contrario,Favorevole,Favorevole,Astensione,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato
PRODANI ARIS,305690,M5S,2013-03-19,Favorevole,Contrario,Contrario,Contrario,Contrario,Astensione,Astensione,Favorevole,Astensione,,,,,,
GALGANO ADRIANA EDEN SUSANNA,305692,MISTO,2013-03-19,Favorevole,Favorevole,Favorevole,Favorevole,Contrario,Contrario,Favorevole,Favorevole,Contrario,,,,,,
CIPRINI TIZIANA,305694,M5S,2013-03-19,Favorevole,Contrario,Contrario,Contrario,Astensione,Favorevole,Contrario,Favorevole,Astensione,Astensione,Astensione,Astensione,Favorevole,Astensione,Contrario
GALLINELLA FILIPPO,305696,M5S,2013-03-19,Favorevole,Contrario,Contrario,Contrario,Astensione,Favorevole,Contrario,Favorevole,Astensione,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato
DE MARIA ANDREA,305698,PD,2013-03-19,Favorevole,Favorevole,Favorevole,Favorevole,Contrario,Contrario,Favorevole,Favorevole,Contrario,Contrario,Contrario,Contrario,Favorevole,Favorevole,Contrario
GIULIETTI GIAMPIERO,305701,PD,2013-03-19,Favorevole,Favorevole,Favorevole,Favorevole,Contrario,Contrario,Favorevole,Favorevole,Contrario,,,,,,
INCERTI ANTONELLA,305702,PD,2013-03-19,Favorevole,Favorevole,Favorevole,Favorevole,Contrario,Contrario,Favorevole,Favorevole,Contrario,Contrario,Contrario,Contrario,Favorevole,Favorevole,Contrario
ASCANI ANNA,305704,PD,2013-03-19,Favorevole,Favorevole,Favorevole,Favorevole,Contrario,Contrario,Favorevole,Favorevole,Contrario,Contrario,Contrario,Contrario,Favorevole,Favorevole,Contrario
GALLI CARLO,305706,MDP-LU,2017-02-28,Contrario,Favorevole,Contrario,Contrario,Favorevole,Astensione,Contrario,Favorevole,Contrario,,,,,,
RICHETTI MATTEO,305708,PD,2013-03-19,Favorevole,Favorevole,Favorevole,Favorevole,Contrario,Contrario,Favorevole,Favorevole,Contrario,,,,,,
FABBRI MARILENA,305710,PD,2013-03-19,Favorevole,Favorevole,Favorevole,Favorevole,Contrario,Contrario,Favorevole,Favorevole,Contrario,,,,,,
MANTERO MATTEO,305712,M5S,2013-03-19,Favorevole,Contrario,Contrario,Contrario,Astensione,Favorevole,Contrario,Favorevole,Astensione,,,,,,
BATTELLI SERGIO,305715,M5S,2013-03-19,Favorevole,Contrario,Contrario,Contrario,Astensione,Favorevole,Contrario,Favorevole,Astensione,Astensione,Astensione,Astensione,Favorevole,Astensione,Contrario
VALENTE SIMONE,305717,M5S,2013-03-19,Favorevole,Contrario,Contrario,Contrario,Astensione,Favorevole,Contrario,Favorevole,Astensione,Astensione,Astensione,Astensione,Favorevole,Astensione,Contrario
GIACOBBE ANNA,305719,PD,2013-03-19,Favorevole,Favorevole,Favorevole,Favorevole,Contrario,Contrario,Favorevole,Favorevole,Contrario,,,,,,
BASSO LORENZO,305721,PD,2013-03-19,Favorevole,Favorevole,Favorevole,Favorevole,Contrario,Contrario,Favorevole,Favorevole,Contrario,,,,,,
MAZZOLI ALESSANDRO,305723,PD,2013-03-19,Favorevole,Favorevole,Favorevole,Favorevole,Contrario,Contrario,Favorevole,Favorevole,Contrario,,,,,,
MELILLI FABIO,305725,PD,2013-03-19,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Contrario,Contrario,Contrario,Non ha votato,Favorevole,Contrario
MELONI MARCO,305727,PD,2013-03-19,Favorevole,Favorevole,Favorevole,Favorevole,Contrario,Contrario,Favorevole,Favorevole,Contrario,,,,,,
CAROCCI MARA,305729,PD,2013-03-19,Favorevole,Favorevole,Favorevole,Favorevole,Contrario,Contrario,Favorevole,Favorevole,Contrario,,,,,,
TERROSI ALESSANDRA,305732,PD,2013-03-19,Favorevole,Favorevole,Favorevole,Favorevole,Contrario,Contrario,Favorevole,Favorevole,Contrario,,,,,,
PASTORINO LUCA,305733,PD,2013-03-19,Contrario,Favorevole,Contrario,Contrario,Favorevole,Astensione,Contrario,Favorevole,Contrario,Astensione,Astensione,Astensione,Favorevole,Astensione,Contrario
VAZIO FRANCO,305735,PD,2013-03-19,Favorevole,Favorevole,Favorevole,Favorevole,Contrario,Contrario,Favorevole,Favorevole,Contrario,Contrario,Contrario,Contrario,Favorevole,Favorevole,Contrario
OLIARO ROBERTA,305737,MISTO,2013-03-19,Favorevole,Favorevole,Favorevole,Favorevole,Contrario,Contrario,Favorevole,Favorevole,Contrario,,,,,,
FAUTTILLI FEDERICO,305739,CI,2017-07-10,Favorevole,Favorevole,Favorevole,Favorevole,Contrario,Contrario,Favorevole,Favorevole,Contrario,,,,,,
MAESTRI PATRIZIA,305742,PD,2013-03-19,Favorevole,Favorevole,Favorevole,Favorevole,Contrario,Contrario,Favorevole,Favorevole,Contrario,,,,,,
BERNINI MASSIMILIANO,305743,M5S,2013-03-19,Favorevole,Contrario,Contrario,Contrario,Astensione,Favorevole,Contrario,Favorevole,Astensione,,,,,,
IANNUZZI CRISTIAN,305746,M5S,2013-03-19,Contrario,Favorevole,Contrario,Contrario,Favorevole,Astensione,Contrario,Favorevole,Astensione,,,,,,
FRUSONE LUCA,305748,M5S,2013-03-19,Favorevole,Contrario,Contrario,Contrario,Astensione,Favorevole,Contrario,Favorevole,Astensione,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato
LATTUCA ENZO,305749,PD,2013-03-19,Favorevole,Favorevole,Favorevole,Favorevole,Contrario,Contrario,Favorevole,Favorevole,Contrario,,,,,,
LEVA DANILO,305751,PD,2013-03-19,Contrario,Favorevole,Contrario,Contrario,Favorevole,Astensione,Contrario,Favorevole,Contrario,,,,,,
VENITTELLI LAURA,305753,PD,2013-03-19,Favorevole,Favorevole,Favorevole,Favorevole,Contrario,Contrario,Favorevole,Favorevole,Contrario,,,,,,
VEZZALI MARIA VALENTINA,305755,CI,2017-07-10,Favorevole,Favorevole,Favorevole,Favorevole,Contrario,Contrario,Favorevole,Favorevole,Contrario,,,,,,
BOLDRINI LAURA,305757,SI-SEL-POS-LU,2013-03-19,,,,,,,,,,Astensione,Astensione,Astensione,Favorevole,Astensione,Contrario
POLVERINI RENATA,305761,FI-PDL,2013-03-19,Favorevole,Favorevole,Favorevole,Favorevole,Non ha votato,Non ha votato,Favorevole,Favorevole,Non ha votato,Favorevole,Favorevole,Favorevole,Favorevole,Favorevole,Astensione
LODOLINI EMANUELE,305763,PD,2013-03-19,Favorevole,Favorevole,Favorevole,Favorevole,Contrario,Contrario,Favorevole,Favorevole,Contrario,,,,,,
MARCHETTI MARCO,305765,PD,2013-03-19,Favorevole,Favorevole,Favorevole,Favorevole,Contrario,Contrario,Favorevole,Favorevole,Contrario,,,,,,
BIANCHI MARIASTELLA,305767,PD,2013-03-19,Favorevole,Favorevole,Favorevole,Favorevole,Contrario,Contrario,Favorevole,Favorevole,Contrario,,,,,,
BOCCADUTRI SERGIO,305770,SI-SEL-POS-LU,2013-03-19,Favorevole,Favorevole,Favorevole,Favorevole,Contrario,Contrario,Favorevole,Favorevole,Contrario,,,,,,
MANZI IRENE,305771,PD,2013-03-19,Favorevole,Favorevole,Favorevole,Favorevole,Contrario,Contrario,Favorevole,Favorevole,Contrario,,,,,,
DAGA FEDERICA,305773,M5S,2013-03-19,Favorevole,Contrario,Contrario,Contrario,Astensione,Favorevole,Contrario,Favorevole,Astensione,Astensione,Astensione,Astensione,Favorevole,Astensione,Contrario
CARRESCIA PIERGIORGIO,305776,PD,2013-03-19,Favorevole,Favorevole,Favorevole,Favorevole,Contrario,Contrario,Favorevole,Favorevole,Contrario,,,,,,
PETRINI PAOLO,305778,PD,2013-03-19,Favorevole,Favorevole,Favorevole,Favorevole,Contrario,Contrario,Favorevole,Favorevole,Contrario,,,,,,
MORANI ALESSIA,305780,PD,2013-03-19,Favorevole,Favorevole,Favorevole,Favorevole,Contrario,Contrario,Favorevole,Favorevole,Contrario,Non ha votato,Contrario,Contrario,Favorevole,Favorevole,Non ha votato
AGOSTINELLI DONATELLA,305782,M5S,2013-03-19,Favorevole,Contrario,Contrario,Contrario,Astensione,Favorevole,Contrario,Favorevole,Astensione,,,,,,
GRANDE MARTA,305784,M5S,2013-03-19,Favorevole,Contrario,Contrario,Contrario,Astensione,Favorevole,Contrario,Favorevole,Astensione,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato
CECCONI ANDREA,305787,M5S,2013-03-19,Favorevole,Contrario,Contrario,Contrario,Astensione,Favorevole,Contrario,Favorevole,Astensione,Astensione,Astensione,Astensione,Favorevole,Astensione,Contrario
LOMBARDI ROBERTA,305788,M5S,2013-03-19,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,,,,,,
DI BATTISTA ALESSANDRO,305791,M5S,2013-03-19,Favorevole,Contrario,Contrario,Contrario,Astensione,Favorevole,Contrario,Favorevole,Astensione,,,,,,
TERZONI PATRIZIA,305792,M5S,2013-03-19,Favorevole,Contrario,Non ha votato,Contrario,Non ha votato,Favorevole,Contrario,Favorevole,Astensione,Astensione,Astensione,Astensione,Non ha votato,Astensione,Contrario
ZACCAGNINI ADRIANO,305794,MISTO,2013-03-19,Contrario,Favorevole,Contrario,Contrario,Favorevole,Astensione,Contrario,Favorevole,Contrario,,,,,,
RUOCCO CARLA,305796,M5S,2013-03-19,Favorevole,Contrario,Contrario,Contrario,Astensione,Favorevole,Contrario,Favorevole,Astensione,Astensione,Astensione,Astensione,Favorevole,Astensione,Contrario
VIGNAROLI STEFANO,305798,M5S,2013-03-19,Favorevole,Contrario,Contrario,Contrario,Astensione,Favorevole,Contrario,Favorevole,Astensione,Astensione,Astensione,Astensione,Favorevole,Astensione,Contrario
BARONI MASSIMO ENRICO,305800,M5S,2013-03-19,Favorevole,Contrario,Contrario,Contrario,Astensione,Favorevole,Contrario,Favorevole,Astensione,Astensione,Astensione,Astensione,Favorevole,Astensione,Contrario
MARAZZITI MARIO,305802,DES-CD,2013-12-10,Favorevole,Favorevole,Favorevole,Favorevole,Non ha votato,Contrario,Favorevole,Favorevole,Contrario,,,,,,
ROSSI DOMENICO,305804,CI,2017-07-10,Favorevole,Favorevole,Favorevole,Favorevole,Contrario,Contrario,Favorevole,Favorevole,Contrario,,,,,,
FASSINA STEFANO,305806,PD,2013-03-19,Contrario,Favorevole,Contrario,Contrario,Favorevole,Astensione,Contrario,Favorevole,Contrario,Astensione,Astensione,Astensione,Favorevole,Astensione,Contrario
TIDEI MARIETTA,305808,PD,2013-03-19,Favorevole,Favorevole,Favorevole,Favorevole,Contrario,Contrario,Favorevole,Favorevole,Contrario,,,,,,
CAMPANA MICAELA,305810,PD,2013-03-19,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Contrario,Contrario,Contrario,Favorevole,Favorevole,Contrario
MARRONI UMBERTO,305813,PD,2013-03-19,Favorevole,Favorevole,Favorevole,Favorevole,Contrario,Contrario,Favorevole,Favorevole,Contrario,,,,,,
ORFINI MATTEO,305815,PD,2013-03-19,Favorevole,Favorevole,Favorevole,Favorevole,Contrario,Contrario,Favorevole,Favorevole,Contrario,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato
MICCOLI MARCO,305817,PD,2013-03-19,Favorevole,Favorevole,Favorevole,Favorevole,Contrario,Contrario,Favorevole,Favorevole,Contrario,,,,,,
BONACCORSI LORENZA,305819,PD,2013-03-19,Favorevole,Favorevole,Favorevole,Favorevole,Contrario,Contrario,Favorevole,Favorevole,Contrario,,,,,,
GREGORI MONICA,305821,SI-SEL-POS-LU,2013-03-19,Contrario,Favorevole,Contrario,Contrario,Favorevole,Astensione,Contrario,Favorevole,Contrario,,,,,,
LEONORI MARTA,305824,PD,2013-03-19,,,,,,,,,,,,,,,
PETITTI EMMA,305825,PD,2013-03-19,,,,,,,,,,,,,,,
KYENGE KASHETU,305827,PD,2013-03-19,,,,,,,,,,,,,,,
MATARRESE SALVATORE,305830,CI,2017-07-10,Favorevole,Favorevole,Non ha votato,Favorevole,Contrario,Contrario,Favorevole,Favorevole,Contrario,,,,,,
PIEPOLI GAETANO,305834,DES-CD,2013-12-10,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,,,,,,
EPIFANI ETTORE GUGLIELMO,305837,PD,2013-03-19,Contrario,Favorevole,Contrario,Contrario,Favorevole,Astensione,Contrario,Favorevole,Contrario,Astensione,Astensione,Astensione,Favorevole,Astensione,Contrario
D'AMBROSIO GIUSEPPE,305838,M5S,2013-03-19,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Astensione,Astensione,Astensione,Favorevole,Astensione,Contrario
AGOSTINI ROBERTA,305840,MDP-LU,2017-02-28,Contrario,Favorevole,Contrario,Contrario,Favorevole,Astensione,Contrario,Favorevole,Contrario,,,,,,
L'ABBATE GIUSEPPE,305842,M5S,2013-03-19,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato
TARTAGLIONE ASSUNTA,305844,PD,2013-03-19,Favorevole,Favorevole,Favorevole,Favorevole,Contrario,Contrario,Favorevole,Favorevole,Contrario,,,,,,
DE LORENZIS DIEGO,305848,M5S,2013-03-19,Favorevole,Contrario,Contrario,Contrario,Astensione,Favorevole,Contrario,Favorevole,Astensione,Astensione,Astensione,Astensione,Favorevole,Astensione,Contrario
VALENTE VALERIA,305849,PD,2013-03-19,Favorevole,Favorevole,Favorevole,Favorevole,Contrario,Contrario,Favorevole,Favorevole,Contrario,,,,,,
DI MAIO MARCO,305850,PD,2013-03-19,Favorevole,Favorevole,Favorevole,Favorevole,Contrario,Contrario,Favorevole,Favorevole,Contrario,Contrario,Contrario,Contrario,Non ha votato,Favorevole,Contrario
BRESCIA GIUSEPPE,305852,M5S,2013-03-19,Favorevole,Contrario,Contrario,Contrario,Astensione,Favorevole,Contrario,Favorevole,Astensione,Astensione,Astensione,Astensione,Favorevole,Astensione,Contrario
DI LELLO MARCO,305854,PD,2013-03-19,Favorevole,Favorevole,Favorevole,Favorevole,Contrario,Contrario,Favorevole,Favorevole,Contrario,,,,,,
FURNARI ALESSANDRO,305856,MISTO,2013-03-19,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,,,,,,
ROSTAN MICHELA,305859,MDP-LU,2017-02-28,Contrario,Favorevole,Contrario,Contrario,Favorevole,Astensione,Contrario,Favorevole,Contrario,Astensione,Astensione,Astensione,Favorevole,Astensione,Contrario
MONTRONI DANIELE,305860,PD,2013-03-19,Favorevole,Favorevole,Favorevole,Favorevole,Contrario,Contrario,Favorevole,Favorevole,Contrario,,,,,,
SCAGLIUSI EMANUELE,305862,M5S,2013-03-19,Favorevole,Contrario,Contrario,Contrario,Astensione,Favorevole,Contrario,Favorevole,Astensione,Astensione,Astensione,Astensione,Favorevole,Astensione,Contrario
IMPEGNO LEONARDO,305864,PD,2013-03-19,Favorevole,Favorevole,Favorevole,Favorevole,Contrario,Contrario,Favorevole,Favorevole,Contrario,,,,,,
PAGANI ALBERTO,305866,PD,2013-03-19,Favorevole,Favorevole,Favorevole,Favorevole,Contrario,Contrario,Favorevole,Favorevole,Contrario,Contrario,Contrario,Contrario,Favorevole,Favorevole,Contrario
CARIELLO FRANCESCO,305868,M5S,2013-03-19,Favorevole,Contrario,Contrario,Contrario,Astensione,Favorevole,Contrario,Favorevole,Astensione,,,,,,
PALMA GIOVANNA,305871,PD,2013-03-19,Favorevole,Favorevole,Favorevole,Favorevole,Contrario,Contrario,Favorevole,Favorevole,Contrario,,,,,,
LABRIOLA VINCENZA,305872,M5S,2013-03-19,Favorevole,Favorevole,Favorevole,Favorevole,Contrario,Contrario,Favorevole,Favorevole,Contrario,Favorevole,Favorevole,Favorevole,Favorevole,Favorevole,Astensione
PAOLUCCI MASSIMO,305874,PD,2013-03-19,,,,,,,,,,,,,,,
MANFREDI MASSIMILIANO,305876,PD,2013-03-19,Favorevole,Favorevole,Favorevole,Favorevole,Contrario,Contrario,Favorevole,Favorevole,Contrario,,,,,,
PICCOLO GIORGIO,305878,MDP-LU,2017-02-28,Contrario,Favorevole,Contrario,Contrario,Favorevole,Astensione,Contrario,Favorevole,Contrario,,,,,,
FRATOIANNI NICOLA,305880,SI-SEL-POS-LU,2013-03-19,Contrario,Favorevole,Contrario,Contrario,Favorevole,Astensione,Contrario,Favorevole,Contrario,Astensione,Astensione,Astensione,Favorevole,Astensione,Contrario
PANNARALE ANNA LUCIA LISA,305883,SI-SEL-POS-LU,2013-03-19,Contrario,Favorevole,Contrario,Contrario,Favorevole,Astensione,Contrario,Favorevole,Contrario,,,,,,
CIMMINO LUCIANO,305886,CI,2017-07-10,,,,,,,,,,,,,,,
MATARRELLI ANTONIO,305887,SI-SEL-POS-LU,2013-03-19,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,,,,,,
ARLOTTI TIZIANO,305888,PD,2013-03-19,Favorevole,Favorevole,Favorevole,Favorevole,Contrario,Contrario,Favorevole,Favorevole,Contrario,,,,,,
FICO ROBERTO,305890,M5S,2013-03-19,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,,,,,,
DI MAIO LUIGI,305892,M5S,2013-03-19,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato
MICILLO SALVATORE,305894,M5S,2013-03-19,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Astensione,Astensione,Astensione,Favorevole,Astensione,Contrario
CASSANO FRANCESCO,305896,PD,2013-03-19,Favorevole,Favorevole,Favorevole,Favorevole,Contrario,Contrario,Favorevole,Favorevole,Contrario,,,,,,
COLONNESE VEGA,305898,M5S,2013-03-19,Favorevole,Contrario,Contrario,Contrario,Astensione,Favorevole,Contrario,Favorevole,Astensione,,,,,,
GALLO LUIGI,305900,M5S,2013-03-19,Favorevole,Contrario,Non ha votato,Contrario,Astensione,Favorevole,Contrario,Favorevole,Astensione,Astensione,Astensione,Astensione,Favorevole,Astensione,Contrario
BRAY MASSIMO,305902,PD,2013-03-19,,,,,,,,,,,,,,,
VENTRICELLI CECILIA,305904,PD,2013-03-19,Favorevole,Favorevole,Favorevole,Favorevole,Contrario,Contrario,Favorevole,Favorevole,Contrario,,,,,,
ATTAGUILE ANGELO GIOACHINO GAETANO,305906,LNA,2013-03-19,Astensione,Astensione,Astensione,Astensione,Contrario,Contrario,Astensione,Astensione,Astensione,,,,,,
DECARO ANTONIO,305908,PD,2013-03-19,,,,,,,,,,,,,,,
TOFALO ANGELO,305910,M5S,2013-03-19,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Astensione,Astensione,Astensione,Favorevole,Astensione,Contrario
GIORDANO SILVIA,305913,M5S,2013-03-19,Favorevole,Contrario,Contrario,Contrario,Astensione,Favorevole,Contrario,Favorevole,Astensione,,,,,,
PINI GIUDITTA,305914,PD,2013-03-19,Favorevole,Favorevole,Favorevole,Favorevole,Contrario,Contrario,Favorevole,Favorevole,Contrario,Contrario,Contrario,Contrario,Favorevole,Favorevole,Contrario
BOLOGNESI PAOLO,305917,PD,2013-03-19,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,,,,,,
SIBILIA CARLO,305918,M5S,2013-03-19,Favorevole,Contrario,Contrario,Contrario,Astensione,Favorevole,Contrario,Favorevole,Astensione,Astensione,Astensione,Astensione,Favorevole,Astensione,Contrario
PISANO GIROLAMO,305921,M5S,2013-03-19,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,,,,,,
PELILLO MICHELE,305924,PD,2013-03-19,Favorevole,Favorevole,Favorevole,Favorevole,Contrario,Contrario,Favorevole,Favorevole,Contrario,,,,,,
CESARO ANTIMO,305925,CI,2017-07-10,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,,,,,,
D'AGOSTINO ANGELO ANTONIO,305927,CI,2017-07-10,Favorevole,Favorevole,Favorevole,Favorevole,Contrario,Contrario,Favorevole,Favorevole,Contrario,,,,,,
CAPONE SALVATORE,305929,PD,2013-03-19,Favorevole,Favorevole,Favorevole,Favorevole,Contrario,Contrario,Favorevole,Favorevole,Contrario,,,,,,
AMENDOLA VINCENZO,305931,PD,2013-03-19,Favorevole,Favorevole,Favorevole,Favorevole,Contrario,Contrario,Favorevole,Favorevole,Contrario,,,,,,
SCALFAROTTO IVAN,305933,PD,2013-03-19,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Contrario,Contrario,Contrario,Favorevole,Favorevole,Contrario
MARIANO ELISA,305935,PD,2013-03-19,Favorevole,Favorevole,Favorevole,Favorevole,Contrario,Contrario,Favorevole,Favorevole,Contrario,,,,,,
GANDOLFI PAOLO,305936,PD,2013-03-19,Favorevole,Favorevole,Favorevole,Favorevole,Contrario,Contrario,Favorevole,Favorevole,Contrario,,,,,,
COCCIA LAURA,305939,PD,2013-03-19,Favorevole,Favorevole,Favorevole,Favorevole,Contrario,Contrario,Favorevole,Favorevole,Contrario,,,,,,
PARIS VALENTINA,305941,PD,2013-03-19,Favorevole,Favorevole,Favorevole,Favorevole,Contrario,Contrario,Favorevole,Favorevole,Contrario,,,,,,
VALIANTE SIMONE,305943,PD,2013-03-19,Favorevole,Favorevole,Favorevole,Favorevole,Contrario,Contrario,Favorevole,Favorevole,Contrario,,,,,,
RUGHETTI ANGELO,305945,PD,2013-03-19,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,,,,,,
ANZALDI MICHELE,305946,PD,2013-03-19,Favorevole,Favorevole,Favorevole,Favorevole,Contrario,Contrario,Favorevole,Favorevole,Contrario,Contrario,Contrario,Contrario,Favorevole,Favorevole,Contrario
BARUFFI DAVIDE,305948,PD,2013-03-19,Favorevole,Favorevole,Favorevole,Favorevole,Contrario,Contrario,Favorevole,Favorevole,Contrario,,,,,,
FAMIGLIETTI LUIGI,305951,PD,2013-03-19,Favorevole,Favorevole,Favorevole,Favorevole,Contrario,Contrario,Favorevole,Favorevole,Contrario,,,,,,
IORI VANNA,305952,PD,2013-03-19,Favorevole,Favorevole,Favorevole,Favorevole,Contrario,Contrario,Favorevole,Favorevole,Contrario,,,,,,
CAPOZZOLO SABRINA,305954,PD,2013-03-19,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,,,,,,
RAGOSTA MICHELE,305956,SI-SEL-POS-LU,2013-03-19,Astensione,Favorevole,Astensione,Astensione,Astensione,Astensione,Astensione,Favorevole,Contrario,,,,,,
PALESE ROCCO,305959,MISTO,2013-03-19,Favorevole,Favorevole,Favorevole,Favorevole,Contrario,Contrario,Favorevole,Favorevole,Contrario,,,,,,
SARTI GIULIA,305960,M5S,2013-03-19,Favorevole,Contrario,Contrario,Contrario,Astensione,Favorevole,Contrario,Favorevole,Astensione,Astensione,Astensione,Astensione,Favorevole,Astensione,Contrario
MUCCI MARA,305962,CI,2017-07-10,Favorevole,Favorevole,Favorevole,Astensione,Contrario,Contrario,Astensione,Astensione,Contrario,,,,,,
CHIARELLI GIANFRANCO GIOVANNI,305964,MISTO,2013-03-19,Favorevole,Favorevole,Favorevole,Favorevole,Contrario,Contrario,Favorevole,Favorevole,Contrario,,,,,,
DALL'OSSO MATTEO,305967,M5S,2013-03-19,Favorevole,Contrario,Contrario,Contrario,Astensione,Favorevole,Contrario,Favorevole,Astensione,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato
MARTI ROBERTO,305968,FI-PDL,2013-03-19,Astensione,Astensione,Astensione,Astensione,Contrario,Contrario,Astensione,Astensione,Astensione,,,,,,
SPADONI MARIA EDERA,305970,M5S,2013-03-19,Favorevole,Contrario,Contrario,Non ha votato,Astensione,Favorevole,Contrario,Favorevole,Astensione,Astensione,Astensione,Astensione,Favorevole,Astensione,Contrario
FERRARESI VITTORIO,305972,M5S,2013-03-19,Favorevole,Contrario,Contrario,Contrario,Astensione,Favorevole,Contrario,Favorevole,Astensione,Astensione,Astensione,Astensione,Favorevole,Astensione,Contrario
SPERANZA ROBERTO,305974,PD,2013-03-19,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato
BERNINI PAOLO,305977,M5S,2013-03-19,Favorevole,Contrario,Contrario,Contrario,Astensione,Favorevole,Contrario,Favorevole,Astensione,,,,,,
FOLINO VINCENZO,305978,SI-SEL-POS-LU,2013-03-19,Contrario,Favorevole,Contrario,Contrario,Favorevole,Astensione,Contrario,Favorevole,Contrario,,,,,,
DELL'ORCO MICHELE,305980,M5S,2013-03-19,Favorevole,Contrario,Contrario,Contrario,Astensione,Favorevole,Contrario,Favorevole,Astensione,,,,,,
